año,conglome,vivienda,hogar,ubigeop,codperso,mhogar,sexo,edad,estciv,reljh,ocu500,ocupinf,emplpsec,htop,htos,gnestudios,fac500a,ubidpto,htsemps,hocios,salanual,salsem,dominio,estrato,pobreza,estrsocial,zona,inghogpc,gashogpc,inghogpcs,gashogpcs,ln_salsem,ln_inghogpcs,ln_gashogpcs
2022,008620,034,11,190113,03,1,2,36,6,3,1,2,NA,0,NA,10,35.0595626831055,19,0,168,19803,379.78324949322,5,3,3,4,Urbana,16513.6315104167,5214.66178385417,316.699522090575,100.007130095452,5.93960069391223,5.75795344451464,4.60524148440082
2022,008620,049,11,190113,01,1,2,68,3,1,1,2,NA,30,NA,6,22.039457321167,19,30,138,26182,502.120135243724,5,3,3,4,Urbana,19381.771484375,6923.498046875,371.70490103878,132.779305463927,6.21883940429539,5.91810026268515,4.88868839254926
2022,008620,049,11,190113,02,1,2,18,6,5,1,1,1,12,NA,6,35.1727142333984,19,12,156,2731,52.3752994175621,5,3,3,4,Urbana,19381.771484375,6923.498046875,371.70490103878,132.779305463927,3.95843509502906,5.91810026268515,4.88868839254926
2022,008620,060,11,190113,02,1,2,69,2,2,1,1,1,28,NA,4,22.039457321167,19,28,140,2228,42.7287320037819,5,3,2,4,Urbana,3725.50268554688,1610.23303222656,71.4479379847856,30.8811560581894,3.75487157460253,4.2689690444043,3.43014616157336
2022,008620,109,11,190113,01,1,1,49,2,1,1,2,NA,36,NA,6,45.5104064941406,19,36,132,49351,946.456756336913,5,3,3,4,Urbana,27618.505859375,8056.73486328125,529.669540040447,154.512596408739,6.8527252816362,6.27225330272572,5.04027562316805
2022,008620,109,11,190113,02,1,2,46,2,2,1,1,1,3,NA,6,28.6282653808594,19,3,165,12120,232.438165119316,5,3,3,4,Urbana,27618.505859375,8056.73486328125,529.669540040447,154.512596408739,5.44862423317866,6.27225330272572,5.04027562316805
2022,008620,109,11,190113,03,1,1,27,6,3,1,2,NA,8,NA,9,61.9794578552246,19,8,160,14735,282.588808831116,5,3,3,4,Urbana,27618.505859375,8056.73486328125,529.669540040447,154.512596408739,5.64399286872715,6.27225330272572,5.04027562316805
2022,008620,109,11,190113,04,1,1,24,6,3,1,2,NA,48,NA,10,51.1309967041016,19,48,120,29095,557.985842751362,5,3,3,4,Urbana,27618.505859375,8056.73486328125,529.669540040447,154.512596408739,6.32433359064612,6.27225330272572,5.04027562316805
2022,008620,121,11,190113,02,1,2,68,2,2,1,1,1,15,NA,6,22.039457321167,19,15,153,319,6.11780319084669,5,3,3,4,Urbana,10026.1923828125,5243.06005859375,192.282983547377,100.551754094877,1.8112030763402,5.25896815958614,4.61067256106776
2022,008621,023,11,190113,03,1,1,34,6,3,1,1,1,50,NA,6,55.8471870422363,19,50,118,6096,116.909492951102,5,3,3,4,Urbana,6697.3486328125,4443.9296875,128.44219697816,85.2259787526202,4.76140007092184,4.85547897416814,4.44530630229502
2022,008621,036,11,190113,01,1,1,70,2,1,1,1,1,36,NA,5,20.3612174987793,19,36,132,12589,241.432678274511,5,3,3,4,Urbana,15308.3125,5400.586328125,293.583834040684,103.572803356258,5.48659066932161,5.68216323405511,4.64027477949583
2022,008621,036,11,190113,03,1,2,46,6,3,1,2,NA,24,NA,10,24.3948879241943,19,24,144,25225,483.766725671184,5,3,3,4,Urbana,15308.3125,5400.586328125,293.583834040684,103.572803356258,6.18160281877716,5.68216323405511,4.64027477949583
